test_id,seed,num_threads,threads_per_core,algorithm,num_users,ramp,avg_cpu,stdev_cpu
1,752,60,off,roundrobin,100,60,14.066963636363637,4.150133128204224
2,752,60,off,roundrobin,100,60,14.31940909090909,4.878399798817994
3,752,60,off,roundrobin,100,60,13.792363636363637,5.42962460842642
4,752,60,off,roundrobin,100,60,12.325527272727273,3.723858473045496
5,752,60,off,roundrobin,100,60,12.949075757575757,3.374951168064921
6,752,60,off,roundrobin,100,60,13.65769696969697,4.829384639509149
7,752,60,off,roundrobin,100,60,13.708409090909091,5.29746901304905
8,752,60,off,roundrobin,100,60,13.372363636363637,4.784595918065971
9,752,60,off,roundrobin,100,60,14.57269090909091,4.425941344332421
10,752,60,off,roundrobin,100,60,13.430909090909092,4.4034071612899
11,752,60,off,roundrobin,500,60,60.388348484848485,15.79419244797886
12,752,60,off,roundrobin,500,60,57.917863636363634,15.312892956146777
13,752,60,off,roundrobin,500,60,59.031454545454544,14.613162419306132
14,752,60,off,roundrobin,500,60,61.4089696969697,17.326143284652066
15,752,60,off,roundrobin,500,60,61.076803030303026,15.818107855357965
16,752,60,off,roundrobin,500,60,61.67675757575758,17.6249167441651
17,752,60,off,roundrobin,500,60,59.336363636363636,17.65222797421086
18,752,60,off,roundrobin,500,60,60.53490909090909,16.46326269482706
19,752,60,off,roundrobin,500,60,60.28092424242424,16.105216763257364
20,752,60,off,roundrobin,500,60,61.84240909090909,17.57190691396284
21,752,60,off,roundrobin,1000,60,30.222126270153094,38.40912790753596
22,752,60,off,roundrobin,1000,60,29.01923574184131,39.35057412339466
23,752,60,off,roundrobin,1000,60,37.3333975931677,40.627127134607754
24,752,60,off,roundrobin,1000,60,38.31452771950854,40.41419203605554
25,752,60,off,roundrobin,1000,60,29.844306037473977,39.21526363175978
26,752,60,off,roundrobin,1000,60,28.43139665563195,39.75508599768732
27,752,60,off,roundrobin,1000,60,28.393735099337746,39.8306531477933
28,752,60,off,roundrobin,1000,60,29.342816909553548,39.05261069869286
29,752,60,off,roundrobin,1000,60,29.301130434782607,39.18627072199604
30,752,60,off,roundrobin,1000,60,37.043224759793056,40.94697158031352
31,752,60,off,roundrobin,1500,60,40.923974888200895,39.45556202377642
32,752,60,off,roundrobin,1500,60,40.61512071404185,40.848379648024284
33,752,60,off,roundrobin,1500,60,41.01723076923077,40.245793662251565
34,752,60,off,roundrobin,1500,60,40.19162883685895,39.44746094097382
35,752,60,off,roundrobin,1500,60,41.114203065326635,40.873937733796424
36,752,60,off,roundrobin,1500,60,41.11371048243344,40.271763358927366
37,752,60,off,roundrobin,1500,60,40.8027095418243,39.79407297477455
38,752,60,off,roundrobin,1500,60,40.94543398916453,39.07547078034577
39,752,60,off,roundrobin,1500,60,41.68992793124616,40.52824115214378
40,752,60,off,roundrobin,1500,60,39.92353299492386,39.76256160462556
41,752,60,off,roundrobin,2000,60,43.17196842277487,37.943508776446116
42,752,60,off,roundrobin,2000,60,42.69316038723181,37.885612343062554
43,752,60,off,roundrobin,2000,60,44.214416501531254,38.45591323916429
44,752,60,off,roundrobin,2000,60,43.62770354886659,39.505029853081304
45,752,60,off,roundrobin,2000,60,45.58227891981262,39.66939937462965
46,752,60,off,roundrobin,2000,60,44.61473291713408,39.92835923661713
47,752,60,off,roundrobin,2000,60,42.61891838687628,38.68486074604432
48,752,60,off,roundrobin,2000,60,44.68583068875327,37.99733511866677
49,752,60,off,roundrobin,2000,60,43.18317466118471,38.90588912650649
50,752,60,off,roundrobin,2000,60,43.97178217821782,39.86262646817235
51,752,60,off,roundrobin,2500,60,46.10052931611669,37.56812361211181
52,752,60,off,roundrobin,2500,60,45.10623544358312,37.96863455482687
53,752,60,off,roundrobin,2500,60,46.51578943089431,38.34125941801964
54,752,60,off,roundrobin,2500,60,46.20362134175771,38.33950121464092
55,752,60,off,roundrobin,2500,60,46.62132075376884,37.298463778415375
56,752,60,off,roundrobin,2500,60,46.612656958987785,37.16257281168113
57,752,60,off,roundrobin,2500,60,46.65093136848648,37.632233564491536
58,752,60,off,roundrobin,2500,60,44.982785691717446,37.69549711378381
59,752,60,off,roundrobin,2500,60,45.41659033955045,37.27366165400615
60,752,60,off,roundrobin,2500,60,45.033801673840266,37.23043120261665
61,752,60,off,roundrobin,3000,60,46.92318650793651,36.15125734326523
62,752,60,off,roundrobin,3000,60,49.04989468499089,35.796910600296535
63,752,60,off,roundrobin,3000,60,46.80945727790571,35.91753657950242
64,752,60,off,roundrobin,3000,60,51.348183139947906,36.868752069888686
65,752,60,off,roundrobin,3000,60,48.04152036199095,36.223364418440745
66,752,60,off,roundrobin,3000,60,50.67703960204772,36.88655841191073
67,752,60,off,roundrobin,3000,60,48.57826808828046,36.1581742187024
68,752,60,off,roundrobin,3000,60,49.93227358490566,37.498033117894416
69,752,60,off,roundrobin,3000,60,46.89033035714286,36.032037008561254
70,752,60,off,roundrobin,3000,60,47.665239316239315,37.16570198672832
71,752,60,off,roundrobin,3500,60,52.17878341013825,35.67512631081754
72,752,60,off,roundrobin,3500,60,49.49360090925623,35.31607302638763
73,752,60,off,roundrobin,3500,60,50.9188881415352,34.90782817518259
74,752,60,off,roundrobin,3500,60,51.176744875080075,35.30691803308109
75,752,60,off,roundrobin,3500,60,50.39685995556577,35.20315333263975
76,752,60,off,roundrobin,3500,60,49.26665918344888,34.57094582145466
77,752,60,off,roundrobin,3500,60,51.86650070568701,35.749611857638484
78,752,60,off,roundrobin,3500,60,49.956667432774076,34.822766108120845
79,752,60,off,roundrobin,3500,60,52.672631415030466,34.91898646860163
80,752,60,off,roundrobin,3500,60,48.600995936966015,34.21234560972629
81,752,60,off,roundrobin,4000,60,54.63450433348835,33.603785678434214
82,752,60,off,roundrobin,4000,60,53.92142600896861,34.22623869219024
83,752,60,off,roundrobin,4000,60,55.158066380529675,31.835349483496575
